"TRADE DATE","EXCHANGE","CONTRACT","DEL.MONTH","BUY LOT","SELL LOT","C.P.F","STRIKE","TRADE PRICE","SETTLEMENT PRICE","UNREALISED PL","PLCCY","DEAL REF","CLIENT CODE"
"28/03/2025","NDEX","C","202509","10","0","F","0.0000","68.6300","68.4000","-2,300.00","EUR","1178939576","WF300"
"28/03/2025","NDEX","C","202509","10","0","F","0.0000","68.6200","68.4000","-2,200.00","EUR","1178939578","WF300"
"28/03/2025","NDEX","C","202509","1","0","F","0.0000","68.5700","68.4000","-170.00","EUR","1178943184","WF300"
"28/03/2025","NDEX","C","202509","9","0","F","0.0000","68.5800","68.4000","-1,620.00","EUR","1178943618","WF300"
"28/03/2025","NDEX","C","202509","10","0","F","0.0000","68.6100","68.4000","-2,100.00","EUR","1178943623","WF300"
